file,m1,n1,m2,n2,ranks,op,alg,all_gather,computation,reduce_scatter,total,failed
node1_58128293.out,100,100,100,100,128,Ax,wbp,0.000417,0.00113,,0.001547,0
node1_58128293.out,100,100,100,100,128,ATx,wbp,,0.001191,0.00021,0.001401,0
node1_58128293.out,100,100,100,100,128,Ax,rrp,0.000499,0.000964,2.1e-05,0.001484,0
node1_58128293.out,100,100,100,100,128,ATx,rrp,4e-06,0.000999,0.000517,0.00152,0
node1_58128293.out,100,100,100,100,128,Ax,bcp,6.2e-05,0.001127,4.3e-05,0.001232,0
node1_58128293.out,100,100,100,100,128,ATx,bcp,1.5e-05,0.001119,0.000201,0.001335,0
node1_58128293.out,475,475,475,475,128,Ax,wbp,0.003573,1.311527,,1.3151000000000002,0
node1_58128293.out,475,475,475,475,128,ATx,wbp,,1.316736,0.036963,1.353699,0
node1_58128293.out,475,475,475,475,128,Ax,rrp,0.003796,1.312861,,1.316657,0
node1_58128293.out,475,475,475,475,128,ATx,rrp,,1.317005,0.036785,1.35379,0
node1_58128293.out,475,475,475,475,128,Ax,bcp,0.000779,1.316223,0.008462,1.325464,0
node1_58128293.out,475,475,475,475,128,ATx,bcp,8.5e-05,1.312442,0.033592,1.346119,0
node1_58128293.out,200,200,1000,1000,128,Ax,wbp,0.018721,0.933606,,0.952327,0
node1_58128293.out,200,200,1000,1000,128,ATx,wbp,,0.969499,0.042656,1.012155,0
node1_58128293.out,200,200,1000,1000,128,Ax,rrp,0.018968,0.93393,,0.952898,0
node1_58128293.out,200,200,1000,1000,128,ATx,rrp,,0.969956,0.043394,1.01335,0
node1_58128293.out,200,200,1000,1000,128,Ax,bcp,0.003823,0.984479,0.006196,0.994498,0
node1_58128293.out,200,200,1000,1000,128,ATx,bcp,4e-05,0.997296,0.055418,1.052754,0
node1_58128293.out,1000,1000,200,200,128,Ax,wbp,0.00117,1.037008,,1.0381779999999998,0
node1_58128293.out,1000,1000,200,200,128,ATx,wbp,,1.036401,0.023936,1.0603369999999999,0
node1_58128293.out,1000,1000,200,200,128,Ax,rrp,0.001192,1.037251,,1.038443,0
node1_58128293.out,1000,1000,200,200,128,ATx,rrp,,1.03641,0.024408,1.060818,0
node1_58128293.out,1000,1000,200,200,128,Ax,bcp,0.000157,1.019407,0.006222,1.0257859999999999,0
node1_58128293.out,1000,1000,200,200,128,ATx,bcp,0.000311,1.018199,0.021108,1.0396180000000002,0
node2_58128294.out,100,100,100,100,256,Ax,wbp,0.000449,0.000539,,0.000988,0
node2_58128294.out,100,100,100,100,256,ATx,wbp,,0.000563,0.000948,0.001511,0
node2_58128294.out,100,100,100,100,256,Ax,rrp,0.000265,0.000504,7.4e-05,0.000843,0
node2_58128294.out,100,100,100,100,256,ATx,rrp,2.1e-05,0.000527,0.00044,0.000988,0
node2_58128294.out,100,100,100,100,256,Ax,bcp,5.6e-05,0.000478,0.000104,0.000638,0
node2_58128294.out,100,100,100,100,256,ATx,bcp,4.1e-05,0.000445,0.000112,0.000598,0
node2_58128294.out,475,475,475,475,256,Ax,wbp,0.007611,0.639998,,0.647609,0
node2_58128294.out,475,475,475,475,256,ATx,wbp,,0.645752,0.025207,0.670959,0
node2_58128294.out,475,475,475,475,256,Ax,rrp,0.007242,0.640428,,0.64767,0
node2_58128294.out,475,475,475,475,256,ATx,rrp,,0.64961,0.023428,0.673038,0
node2_58128294.out,475,475,475,475,256,Ax,bcp,0.000345,0.657571,0.006282,0.6641980000000001,0
node2_58128294.out,475,475,475,475,256,ATx,bcp,0.000251,0.655595,0.015695,0.671541,0
node2_58128294.out,200,200,1000,1000,256,Ax,wbp,0.017606,0.461146,,0.478752,0
node2_58128294.out,200,200,1000,1000,256,ATx,wbp,,0.487663,0.045552,0.533215,0
node2_58128294.out,200,200,1000,1000,256,Ax,rrp,0.014769,0.390921,0.001038,0.40672800000000003,0
node2_58128294.out,200,200,1000,1000,256,ATx,rrp,0.000305,0.410835,0.128156,0.539296,0
node2_58128294.out,200,200,1000,1000,256,Ax,bcp,0.001731,0.504794,0.003433,0.5099579999999999,0
node2_58128294.out,200,200,1000,1000,256,ATx,bcp,9.3e-05,0.508527,0.024001,0.5326209999999999,0
node2_58128294.out,1000,1000,200,200,256,Ax,wbp,0.001455,0.519391,,0.520846,0
node2_58128294.out,1000,1000,200,200,256,ATx,wbp,,0.519349,0.012386,0.531735,0
node2_58128294.out,1000,1000,200,200,256,Ax,rrp,0.001444,0.519374,,0.520818,0
node2_58128294.out,1000,1000,200,200,256,ATx,rrp,,0.519251,0.012117,0.5313680000000001,0
node2_58128294.out,1000,1000,200,200,256,Ax,bcp,0.000115,0.525008,0.003982,0.529105,0
node2_58128294.out,1000,1000,200,200,256,ATx,bcp,0.000943,0.521456,0.010356,0.532755,0
node4_58128301.out,100,100,100,100,512,Ax,wbp,0.000503,0.000262,,0.0007650000000000001,0
node4_58128301.out,100,100,100,100,512,ATx,wbp,,0.000268,0.000844,0.0011120000000000001,0
node4_58128301.out,100,100,100,100,512,Ax,rrp,0.000179,0.000251,0.000169,0.0005989999999999999,0
node4_58128301.out,100,100,100,100,512,ATx,rrp,4.1e-05,0.000252,0.000277,0.00057,0
